url_path,views_total,views_unique
/idurar/idurar-erp-crm,677,357
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,130,37
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,73,24
/idurar/idurar-erp-crm/tree/master/controllers,67,23
/idurar/idurar-erp-crm/tree/master/setup,52,13
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,40,16
/idurar/idurar-erp-crm/tree/master/views/pdf,39,15
/idurar/idurar-erp-crm/blob/master/app.js,35,18
/idurar/idurar-erp-crm/tree/master/models,35,15
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,32,11
