url_path,views_total,views_unique
/idurar/idurar-erp-crm,617,336
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,111,30
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,97,24
/idurar/idurar-erp-crm/tree/master/controllers,74,33
/idurar/idurar-erp-crm/tree/master/models,49,28
/idurar/idurar-erp-crm/tree/master/models/erpModels,47,26
/idurar/idurar-erp-crm/tree/master/setup,41,16
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,38,20
/idurar/idurar-erp-crm/tree/master/routes/erpRoutes,38,13
/idurar/idurar-erp-crm/blob/master/app.js,35,17
