referrer,views_total,views_unique
dev.to,7153,1259
github.com,1836,262
wellfound.com,458,100
Google,429,95
linkedin.com,17,3
search.brave.com,14,2
Bing,12,6
com.google.android.gm,9,5
mail.google.com,8,2
itarticles.org,8,1
