url_path,views_total,views_unique
/idurar/idurar-erp-crm,634,340
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,129,38
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,87,24
/idurar/idurar-erp-crm/tree/master/controllers,74,27
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,43,18
/idurar/idurar-erp-crm/blob/master/app.js,37,18
/idurar/idurar-erp-crm/tree/master/setup,37,13
/idurar/idurar-erp-crm/tree/master/views/pdf,36,15
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,35,15
/idurar/idurar-erp-crm/tree/master/models,33,17
