referrer,views_total,views_unique
github.com,1140,212
Google,233,48
dev.to,79,17
t.co,77,1
startupschool.org,9,1
m.facebook.com,5,4
nvd.nist.gov,3,2
reactjsexample.com,3,2
ui.shadcn.com,1,1
l.facebook.com,1,1
