url_path,views_total,views_unique
/idurar/idurar-erp-crm,689,344
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,117,38
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,74,25
/idurar/idurar-erp-crm/tree/master/controllers,68,26
/idurar/idurar-erp-crm/tree/master/setup,47,12
/idurar/idurar-erp-crm/blob/master/app.js,40,18
/idurar/idurar-erp-crm/tree/master/views/pdf,39,15
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,38,13
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,37,15
/idurar/idurar-erp-crm/tree/master/models,35,16
