referrer,views_total,views_unique
dev.to,8363,1517
github.com,2596,324
wellfound.com,1155,218
Google,498,114
linkedin.com,44,10
search.brave.com,16,3
awesomeopensource.com,15,3
com.google.android.gm,12,8
Bing,12,6
mail.google.com,12,5
