referrer,views_total,views_unique
github.com,967,175
Google,116,27
dev.to,82,19
web.skype.com,26,1
l.facebook.com,3,2
yandex.ru,2,1
docs.metasfresh.org,2,1
Bing,2,1
in.search.yahoo.com,1,1
morioh.com,1,1
