referrer,views_total,views_unique
github.com,1037,160
Google,200,35
dev.to,102,18
l.facebook.com,3,2
Bing,3,2
docs.metasfresh.org,2,1
yandex.ru,2,1
com.google.android.gm,1,1
in.search.yahoo.com,1,1
morioh.com,1,1
