referrer,views_total,views_unique
github.com,1328,223
Google,224,47
dev.to,143,20
t.co,77,1
Bing,12,3
DuckDuckGo,4,2
com.google.android.gm,3,1
l.facebook.com,2,1
m.facebook.com,1,1
reactjsexample.com,1,1
