url_path,views_total,views_unique
/idurar/idurar-erp-crm,519,226
/idurar/idurar-erp-crm/actions,42,2
/idurar/idurar-erp-crm/forks,38,1
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,36,23
/idurar/idurar-erp-crm/tree/master/controllers,32,15
/idurar/idurar-erp-crm/tree/master/.github/workflows,28,4
/idurar/idurar-erp-crm/blob/master/.github/workflows/workflow.yml,27,1
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,24,13
/idurar/idurar-erp-crm/issues,23,15
/idurar/idurar-erp-crm/actions/workflows/workflow.yml,22,1
