url_path,views_total,views_unique
/idurar/idurar-erp-crm,584,332
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,92,24
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,78,31
/idurar/idurar-erp-crm/tree/master/controllers,69,32
/idurar/idurar-erp-crm/tree/master/models,54,31
/idurar/idurar-erp-crm/tree/master/models/erpModels,51,28
/idurar/idurar-erp-crm/tree/master/routes/erpRoutes,43,13
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,42,22
/idurar/idurar-erp-crm/tree/master/middlewares,33,17
/idurar/idurar-erp-crm/tree/master/setup,33,17
