time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-21 00:00:00+00:00,,,26,5
2023-05-22 00:00:00+00:00,8.0,7.0,234,36
2023-05-23 00:00:00+00:00,5.0,5.0,96,25
2023-05-24 00:00:00+00:00,8.0,6.0,82,22
2023-05-25 00:00:00+00:00,7.0,5.0,256,35
2023-05-26 00:00:00+00:00,5.0,4.0,199,25
2023-05-27 00:00:00+00:00,11.0,7.0,67,20
2023-05-28 00:00:00+00:00,4.0,4.0,63,17
2023-05-29 00:00:00+00:00,7.0,7.0,173,28
2023-05-30 00:00:00+00:00,2.0,2.0,220,39
2023-05-31 00:00:00+00:00,13.0,7.0,256,42
2023-06-01 00:00:00+00:00,8.0,8.0,119,33
2023-06-02 00:00:00+00:00,7.0,6.0,189,29
2023-06-03 00:00:00+00:00,12.0,8.0,458,35
2023-06-04 00:00:00+00:00,,,23,10
