referrer,views_total,views_unique
github.com,1087,169
Google,138,29
dev.to,99,16
web.skype.com,26,1
l.facebook.com,3,2
yandex.ru,2,1
docs.metasfresh.org,2,1
Bing,2,1
in.search.yahoo.com,1,1
morioh.com,1,1
