referrer,views_total,views_unique
github.com,1013,168
Google,130,20
dev.to,124,23
web.skype.com,26,1
l.facebook.com,3,2
com.google.android.gm,1,1
in.search.yahoo.com,1,1
typeof.net,1,1
keep.google.com,1,1
wellfound.com,1,1
