referrer,views_total,views_unique
github.com,1077,211
Google,183,45
dev.to,118,18
t.co,77,1
Bing,11,2
startupschool.org,9,1
m.facebook.com,5,4
nvd.nist.gov,3,2
l.facebook.com,2,1
ui.shadcn.com,1,1
