referrer,views_total,views_unique
dev.to,2252,374
github.com,1433,201
Google,170,63
startupschool.org,9,1
Bing,8,4
itarticles.org,8,1
search.brave.com,5,1
m.facebook.com,4,3
feedly.com,4,1
nvd.nist.gov,3,2
