referrer,views_total,views_unique
github.com,1077,170
Google,263,40
dev.to,81,18
DuckDuckGo,4,1
l.facebook.com,3,2
Bing,3,2
yandex.ru,2,1
docs.metasfresh.org,2,1
p1ay8y3ar.github.io,1,1
wx.zsxq.com,1,1
