referrer,views_total,views_unique
dev.to,3522,712
github.com,1549,213
Google,244,72
Bing,11,5
startupschool.org,9,1
itarticles.org,8,1
m.facebook.com,5,4
search.brave.com,5,1
feedly.com,4,1
nvd.nist.gov,3,2
