url_path,views_total,views_unique
/idurar/idurar-erp-crm,678,329
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,69,33
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,55,21
/idurar/idurar-erp-crm/tree/master/controllers,48,20
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,38,13
/idurar/idurar-erp-crm/tree/master/setup,32,9
/idurar/idurar-erp-crm/tree/master/models,30,15
/idurar/idurar-erp-crm/blob/master/README.md,28,7
/idurar/idurar-erp-crm/blob/master/app.js,23,12
/idurar/idurar-erp-crm/tree/master/views/pdf,22,10
