url_path,views_total,views_unique
/idurar/idurar-erp-crm,1755,1087
/idurar/idurar-erp-crm/tree/master/frontend/src,250,78
/idurar/idurar-erp-crm/tree/master/frontend,245,111
/idurar/idurar-erp-crm/tree/master/controllers,163,79
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,119,53
/idurar/idurar-erp-crm/tree/master/models/erpModels,114,46
/idurar/idurar-erp-crm/tree/master/models,100,50
/idurar/idurar-erp-crm/tree/master/middlewares,81,47
/idurar/idurar-erp-crm/blob/master/app.js,81,39
/idurar/idurar-erp-crm/issues,78,61
