referrer,views_total,views_unique
github.com,1274,201
dev.to,787,127
Google,135,48
startupschool.org,9,1
Bing,8,4
itarticles.org,8,1
search.brave.com,5,1
m.facebook.com,4,3
nvd.nist.gov,3,2
awesomeopensource.com,2,2
