referrer,views_total,views_unique
github.com,1292,218
Google,219,48
dev.to,181,20
t.co,77,1
startupschool.org,9,1
m.facebook.com,5,4
Bing,4,3
nvd.nist.gov,3,2
reactjsexample.com,3,2
ui.shadcn.com,2,1
