url_path,views_total,views_unique
/idurar/idurar-erp-crm,666,304
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,54,28
/idurar/idurar-erp-crm/tree/master/controllers,52,21
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,33,13
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,32,17
/idurar/idurar-erp-crm/tree/master/setup,30,12
/idurar/idurar-erp-crm/blob/master/README.md,28,7
/idurar/idurar-erp-crm/tree/master/models,27,15
/idurar/idurar-erp-crm/issues,23,17
/idurar/idurar-erp-crm/tree/master/models/erpModels,23,12
