referrer,views_total,views_unique
github.com,1149,219
Google,202,46
dev.to,123,17
t.co,77,1
Bing,12,3
DuckDuckGo,3,1
l.facebook.com,2,1
facebook.com,1,1
ui.shadcn.com,1,1
m.facebook.com,1,1
