url_path,views_total,views_unique
/idurar/idurar-erp-crm,619,339
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,109,31
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,89,23
/idurar/idurar-erp-crm/tree/master/controllers,78,33
/idurar/idurar-erp-crm/tree/master/models,49,27
/idurar/idurar-erp-crm/tree/master/models/erpModels,44,24
/idurar/idurar-erp-crm/tree/master/setup,44,17
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,39,19
/idurar/idurar-erp-crm/tree/master/routes/erpRoutes,39,14
/idurar/idurar-erp-crm/blob/master/app.js,35,16
