referrer,views_total,views_unique
github.com,1128,211
Google,175,45
dev.to,109,17
t.co,77,1
startupschool.org,9,1
m.facebook.com,5,4
nvd.nist.gov,3,2
reactjsexample.com,3,2
l.facebook.com,3,2
rsuitejs.com,1,1
