referrer,views_total,views_unique
github.com,966,185
dev.to,95,21
Google,88,25
web.skype.com,26,1
l.facebook.com,3,2
docs.metasfresh.org,2,1
yandex.ru,2,1
unsafe.sh,1,1
com.google.android.gm,1,1
in.search.yahoo.com,1,1
