referrer,views_total,views_unique
github.com,995,157
dev.to,123,22
Google,109,21
web.skype.com,26,1
typeof.net,1,1
keep.google.com,1,1
wellfound.com,1,1
vulmon.com,1,1
in.search.yahoo.com,1,1
