url_path,views_total,views_unique
/idurar/idurar-erp-crm,697,338
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,65,33
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,48,21
/idurar/idurar-erp-crm/tree/master/controllers,44,18
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,34,11
/idurar/idurar-erp-crm/tree/master/setup,31,10
/idurar/idurar-erp-crm/tree/master/models,27,14
/idurar/idurar-erp-crm/blob/master/README.md,26,6
/idurar/idurar-erp-crm/issues,24,18
/idurar/idurar-erp-crm/blob/master/app.js,24,13
