url_path,views_total,views_unique
/idurar/idurar-erp-crm,3582,2181
/idurar/idurar-erp-crm/tree/master/frontend/src,710,203
/idurar/idurar-erp-crm/tree/master/frontend,638,265
/idurar/idurar-erp-crm/tree/master/controllers,355,157
/idurar/idurar-erp-crm/issues,238,142
/idurar/idurar-erp-crm/tree/master/models/erpModels,211,86
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,209,97
/idurar/idurar-erp-crm/tree/master/models,200,95
/idurar/idurar-erp-crm/blob/master/app.js,168,83
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,165,84
