referrer,views_total,views_unique
dev.to,6155,1127
github.com,1715,239
Google,360,81
search.brave.com,14,2
Bing,12,6
startupschool.org,9,1
itarticles.org,8,1
m.facebook.com,5,4
feedly.com,5,2
blog.idurarapp.com,2,2
