url_path,views_total,views_unique
/idurar/idurar-erp-crm,566,318
/idurar/idurar-erp-crm/tree/master/models/erpModels,65,24
/idurar/idurar-erp-crm/tree/master/controllers,62,29
/idurar/idurar-erp-crm/tree/master/models,61,25
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,57,25
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,49,21
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,46,22
/idurar/idurar-erp-crm/tree/master/middlewares,33,16
/idurar/idurar-erp-crm/tree/master/frontend,30,9
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,29,14
