time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-08 00:00:00+00:00,,,91,16
2023-05-09 00:00:00+00:00,3.0,3.0,295,27
2023-05-10 00:00:00+00:00,4.0,4.0,108,18
2023-05-11 00:00:00+00:00,6.0,5.0,140,28
2023-05-12 00:00:00+00:00,5.0,5.0,160,44
2023-05-13 00:00:00+00:00,4.0,4.0,164,29
2023-05-14 00:00:00+00:00,8.0,5.0,208,15
2023-05-15 00:00:00+00:00,7.0,6.0,176,37
2023-05-16 00:00:00+00:00,6.0,6.0,406,43
2023-05-17 00:00:00+00:00,9.0,7.0,310,47
2023-05-18 00:00:00+00:00,4.0,4.0,122,39
2023-05-19 00:00:00+00:00,3.0,3.0,63,29
2023-05-20 00:00:00+00:00,9.0,6.0,132,24
2023-05-21 00:00:00+00:00,9.0,6.0,158,21
2023-05-22 00:00:00+00:00,4.0,4.0,68,16
