url_path,views_total,views_unique
/idurar/idurar-erp-crm,624,349
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,135,41
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,101,27
/idurar/idurar-erp-crm/tree/master/controllers,76,28
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,47,20
/idurar/idurar-erp-crm/blob/master/app.js,39,18
/idurar/idurar-erp-crm/tree/master/setup,38,14
/idurar/idurar-erp-crm/tree/master/models,37,20
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,36,17
/idurar/idurar-erp-crm/tree/master/views/pdf,35,15
