url_path,views_total,views_unique
/idurar/idurar-erp-crm,2574,1603
/idurar/idurar-erp-crm/tree/master/frontend/src,438,127
/idurar/idurar-erp-crm/tree/master/frontend,396,178
/idurar/idurar-erp-crm/tree/master/controllers,276,126
/idurar/idurar-erp-crm/tree/master/models/erpModels,174,64
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,172,76
/idurar/idurar-erp-crm/tree/master/models,151,71
/idurar/idurar-erp-crm/blob/master/app.js,130,62
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,127,66
/idurar/idurar-erp-crm/tree/master/middlewares,110,61
