url_path,views_total,views_unique
/idurar/idurar-erp-crm,553,313
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,84,34
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,69,25
/idurar/idurar-erp-crm/tree/master/controllers,66,30
/idurar/idurar-erp-crm/tree/master/models,66,30
/idurar/idurar-erp-crm/tree/master/models/erpModels,63,27
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,54,23
/idurar/idurar-erp-crm/tree/master/setup,37,16
/idurar/idurar-erp-crm/tree/master/middlewares,34,16
/idurar/idurar-erp-crm/tree/master/public,30,19
