url_path,views_total,views_unique
/idurar/idurar-erp-crm,572,324
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,77,32
/idurar/idurar-erp-crm/tree/master/controllers,70,32
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,66,26
/idurar/idurar-erp-crm/tree/master/models/erpModels,66,25
/idurar/idurar-erp-crm/tree/master/models,63,27
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,48,22
/idurar/idurar-erp-crm/tree/master/middlewares,36,17
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,30,15
/idurar/idurar-erp-crm/tree/master/setup,30,13
