referrer,views_total,views_unique
github.com,1089,216
Google,206,47
dev.to,120,20
t.co,77,1
Bing,12,3
l.facebook.com,2,1
facebook.com,1,1
ui.shadcn.com,1,1
m.facebook.com,1,1
rsuitejs.com,1,1
