url_path,views_total,views_unique
/idurar/idurar-erp-crm,625,340
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,115,34
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,94,26
/idurar/idurar-erp-crm/tree/master/controllers,79,33
/idurar/idurar-erp-crm/tree/master/models,47,27
/idurar/idurar-erp-crm/tree/master/models/erpModels,45,25
/idurar/idurar-erp-crm/tree/master/setup,41,18
/idurar/idurar-erp-crm/blob/master/app.js,38,17
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,37,18
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,36,17
