url_path,views_total,views_unique
/idurar/idurar-erp-crm,562,309
/idurar/idurar-erp-crm/tree/master/controllers,61,27
/idurar/idurar-erp-crm/tree/master/models/erpModels,60,22
/idurar/idurar-erp-crm/tree/master/models,56,23
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,48,21
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,44,20
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,40,18
/idurar/idurar-erp-crm/tree/master/frontend,37,12
/idurar/idurar-erp-crm/blob/master/app.js,31,12
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,29,14
