url_path,views_total,views_unique
/idurar/idurar-erp-crm,678,331
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,81,32
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,64,21
/idurar/idurar-erp-crm/tree/master/controllers,60,21
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,42,13
/idurar/idurar-erp-crm/tree/master/setup,36,9
/idurar/idurar-erp-crm/tree/master/models,32,14
/idurar/idurar-erp-crm/issues,29,17
/idurar/idurar-erp-crm/tree/master/views/pdf,29,10
/idurar/idurar-erp-crm/blob/master/README.md,28,7
