time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-02 00:00:00+00:00,7,6,189,29
2023-06-03 00:00:00+00:00,12,8,458,35
2023-06-04 00:00:00+00:00,4,4,101,21
2023-06-05 00:00:00+00:00,13,8,153,33
2023-06-06 00:00:00+00:00,6,6,116,36
2023-06-07 00:00:00+00:00,6,6,177,30
2023-06-08 00:00:00+00:00,9,8,905,137
2023-06-09 00:00:00+00:00,10,9,2000,322
2023-06-10 00:00:00+00:00,15,12,1880,411
2023-06-11 00:00:00+00:00,18,14,1999,344
2023-06-12 00:00:00+00:00,18,14,1936,287
2023-06-13 00:00:00+00:00,20,15,2112,367
2023-06-14 00:00:00+00:00,33,23,2360,375
2023-06-15 00:00:00+00:00,16,14,1539,253
