url_path,views_total,views_unique
/idurar/idurar-erp-crm,545,306
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,72,30
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,68,25
/idurar/idurar-erp-crm/tree/master/controllers,66,31
/idurar/idurar-erp-crm/tree/master/models,63,29
/idurar/idurar-erp-crm/tree/master/models/erpModels,63,27
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,54,23
/idurar/idurar-erp-crm/tree/master/setup,37,16
/idurar/idurar-erp-crm/tree/master/middlewares,31,15
/idurar/idurar-erp-crm/tree/master/public,28,18
