referrer,views_total,views_unique
github.com,1257,202
dev.to,186,20
Google,143,51
t.co,77,1
startupschool.org,9,1
Bing,8,4
search.brave.com,5,1
m.facebook.com,4,3
nvd.nist.gov,3,2
reactjsexample.com,3,2
