url_path,views_total,views_unique
/idurar/idurar-erp-crm,615,326
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,108,34
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,85,26
/idurar/idurar-erp-crm/tree/master/controllers,80,33
/idurar/idurar-erp-crm/tree/master/models,46,26
/idurar/idurar-erp-crm/tree/master/models/erpModels,44,24
/idurar/idurar-erp-crm/tree/master/setup,41,18
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,40,18
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,39,19
/idurar/idurar-erp-crm/blob/master/app.js,38,17
