url_path,views_total,views_unique
/idurar/idurar-erp-crm,2204,1381
/idurar/idurar-erp-crm/tree/master/frontend/src,354,104
/idurar/idurar-erp-crm/tree/master/frontend,314,145
/idurar/idurar-erp-crm/tree/master/controllers,238,107
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,164,70
/idurar/idurar-erp-crm/tree/master/models/erpModels,164,56
/idurar/idurar-erp-crm/tree/master/models,133,60
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,114,58
/idurar/idurar-erp-crm/blob/master/app.js,101,50
/idurar/idurar-erp-crm/tree/master/middlewares,92,54
