referrer,views_total,views_unique
github.com,1538,192
Google,278,50
dev.to,123,25
DuckDuckGo,9,2
com.google.android.gm,4,2
Bing,3,2
docs.metasfresh.org,2,1
yandex.ru,2,1
morioh.com,1,1
nvd.nist.gov,1,1
