referrer,views_total,views_unique
github.com,1263,208
dev.to,187,21
Google,129,42
t.co,77,1
Bing,9,5
startupschool.org,9,1
search.brave.com,5,1
m.facebook.com,4,3
nvd.nist.gov,3,2
reactjsexample.com,3,2
