url_path,views_total,views_unique
/idurar/idurar-erp-crm,677,333
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,86,34
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,65,22
/idurar/idurar-erp-crm/tree/master/controllers,60,21
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,39,12
/idurar/idurar-erp-crm/tree/master/setup,39,10
/idurar/idurar-erp-crm/tree/master/views/pdf,33,12
/idurar/idurar-erp-crm/tree/master/models,32,14
/idurar/idurar-erp-crm/blob/master/README.md,28,7
/idurar/idurar-erp-crm/issues,26,16
