referrer,views_total,views_unique
github.com,1428,227
Google,242,49
dev.to,130,21
t.co,77,1
Bing,12,3
DuckDuckGo,5,2
com.google.android.gm,4,2
l.facebook.com,2,1
m.facebook.com,1,1
reactjsexample.com,1,1
