url_path,views_total,views_unique
/idurar/idurar-erp-crm,612,345
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,122,38
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,90,27
/idurar/idurar-erp-crm/tree/master/controllers,78,31
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,47,20
/idurar/idurar-erp-crm/tree/master/setup,42,17
/idurar/idurar-erp-crm/tree/master/routes/erpRoutes,37,14
/idurar/idurar-erp-crm/tree/master/models,36,18
/idurar/idurar-erp-crm/blob/master/app.js,35,16
/idurar/idurar-erp-crm/issues,33,19
