url_path,views_total,views_unique
/idurar/idurar-erp-crm,602,322
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,118,34
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,89,25
/idurar/idurar-erp-crm/tree/master/controllers,86,33
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,47,19
/idurar/idurar-erp-crm/tree/master/models,43,23
/idurar/idurar-erp-crm/tree/master/setup,43,18
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,41,20
/idurar/idurar-erp-crm/tree/master/models/erpModels,39,21
/idurar/idurar-erp-crm/tree/master/routes/erpRoutes,39,13
