url_path,views_total,views_unique
/idurar/idurar-erp-crm,697,331
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,66,30
/idurar/idurar-erp-crm/tree/master/controllers,52,19
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,47,19
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,35,12
/idurar/idurar-erp-crm/tree/master/setup,29,11
/idurar/idurar-erp-crm/blob/master/README.md,28,7
/idurar/idurar-erp-crm/tree/master/models,27,14
/idurar/idurar-erp-crm/blob/master/app.js,26,12
/idurar/idurar-erp-crm/issues,24,18
