referrer,views_total,views_unique
github.com,1577,206
Google,289,50
dev.to,111,23
DuckDuckGo,9,2
Bing,4,3
com.google.android.gm,4,2
docs.metasfresh.org,2,1
yandex.ru,2,1
vulners.com,1,1
nvd.nist.gov,1,1
