url_path,views_total,views_unique
/idurar/idurar-erp-crm,633,359
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,134,41
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,102,28
/idurar/idurar-erp-crm/tree/master/controllers,77,29
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,47,20
/idurar/idurar-erp-crm/tree/master/setup,42,17
/idurar/idurar-erp-crm/tree/master/models,38,20
/idurar/idurar-erp-crm/tree/master/views/pdf,36,16
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,35,18
/idurar/idurar-erp-crm/blob/master/app.js,35,16
