url_path,views_total,views_unique
/idurar/idurar-erp-crm,539,306
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,69,29
/idurar/idurar-erp-crm/tree/master/controllers,64,30
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,59,23
/idurar/idurar-erp-crm/tree/master/models/erpModels,59,23
/idurar/idurar-erp-crm/tree/master/models,58,25
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,45,21
/idurar/idurar-erp-crm/tree/master/middlewares,36,17
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,30,15
/idurar/idurar-erp-crm/tree/master/setup,24,11
