referrer,views_total,views_unique
github.com,1107,176
Google,215,39
dev.to,102,18
l.facebook.com,3,2
Bing,3,2
yandex.ru,2,1
docs.metasfresh.org,2,1
morioh.com,1,1
p1ay8y3ar.github.io,1,1
wx.zsxq.com,1,1
