referrer,views_total,views_unique
dev.to,7924,1417
github.com,2236,291
wellfound.com,830,175
Google,475,109
linkedin.com,43,9
search.brave.com,16,3
awesomeopensource.com,15,3
com.google.android.gm,12,8
Bing,12,6
mail.google.com,12,5
