url_path,views_total,views_unique
/idurar/idurar-erp-crm,3954,2350
/idurar/idurar-erp-crm/tree/master/frontend/src,776,228
/idurar/idurar-erp-crm/tree/master/frontend,717,299
/idurar/idurar-erp-crm/tree/master/controllers,411,174
/idurar/idurar-erp-crm/issues,278,157
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,240,112
/idurar/idurar-erp-crm/tree/master/models,213,101
/idurar/idurar-erp-crm/tree/master/models/erpModels,211,91
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,187,92
/idurar/idurar-erp-crm/blob/master/app.js,176,88
