referrer,views_total,views_unique
github.com,1487,197
Google,297,53
dev.to,121,25
Bing,14,4
DuckDuckGo,9,2
com.google.android.gm,4,2
yandex.ru,2,1
cve.org,1,1
nvd.nist.gov,1,1
vulners.com,1,1
