referrer,views_total,views_unique
github.com,967,174
dev.to,133,23
Google,113,22
web.skype.com,26,1
l.facebook.com,3,2
wx.zsxq.com,1,1
unsafe.sh,1,1
com.google.android.gm,1,1
in.search.yahoo.com,1,1
morioh.com,1,1
