url_path,views_total,views_unique
/idurar/idurar-erp-crm,549,315
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,65,28
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,64,23
/idurar/idurar-erp-crm/tree/master/models,57,29
/idurar/idurar-erp-crm/tree/master/models/erpModels,57,27
/idurar/idurar-erp-crm/tree/master/controllers,56,28
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,40,21
/idurar/idurar-erp-crm/tree/master/setup,38,18
/idurar/idurar-erp-crm/tree/master/middlewares,31,15
/idurar/idurar-erp-crm/tree/master/routes/erpRoutes,27,10
