url_path,views_total,views_unique
/idurar/idurar-erp-crm,744,412
/idurar/idurar-erp-crm/tree/master/frontend/src,85,26
/idurar/idurar-erp-crm/tree/master/frontend,84,35
/idurar/idurar-erp-crm/tree/master/controllers,72,33
/idurar/idurar-erp-crm/tree/master/models/erpModels,59,23
/idurar/idurar-erp-crm/tree/master/models,54,24
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,47,22
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,44,19
/idurar/idurar-erp-crm/blob/master/app.js,41,16
/idurar/idurar-erp-crm/tree/master/views/pdf,36,15
